District ID,District Number,Operating Cost Per Student,County Name
1991,Douglas County SD 4,$7571.47,DOUGLAS
2009,Prairie City SD 4,$12588.11,GRANT
2204,UMATILLA SCH DIST 6,$6685.92,UMATILLA
2138,SILVER FALLS SCH DIST 4J,$6488.74,MARION
2185,CENTENNIAL SCH DIST 28J,$6124.39,MULTNOMAH
2085,Mapleton SD 32,$12664.23,LANE
1933,ASTORIA SCH DIST 1,$7012.46,CLATSOP
2018,SUNTEX SCH DIST 10,$11668.74,HARNEY
2057,KLAMATH CO SCH DIST,$7342.32,KLAMATH
2060,Paisley SD 11,$14152.18,LAKE
2083,SPRINGFIELD SCH DIST 19,$6595.74,LANE
2094,Marcola SD 79J,$9392.71,LANE
2216,COVE SCH DIST 15,$7410.00,UNION
1895,Huntington SD 16J,$16823.34,BAKER
2003,Sutherlin SD 130,$7307.16,DOUGLAS
2097,LINCOLN CO SCH DIST,$7390.55,LINCOLN
1967,POWERS SCH DIST 31,$11536.96,COOS
1901,Corvallis SD 509J,$7978.72,BENTON
2092,LOWELL SCH DIST 71,$7736.72,LANE
2138,Silver Falls SD 4J,$7749.29,MARION
2192,Perrydale SD 21,$8491.39,POLK
2050,Culver SD 4,$8451.33,JEFFERSON
2051,Ashwood SD 8,$65107.60,JEFFERSON
2240,BANKS SCH DIST 13,$5686.08,WASHINGTON
2088,BETHEL SCH DIST 52,$6916.54,LANE
1934,JEWELL SCH DIST 8,$12572.91,CLATSOP
1964,Coquille SD 8,$9463.48,COOS
2089,Crow-Applegate-Lorane Sch Dist 66,$8906.36,LANE
2203,ECHO SCH DIST 5,$6758.97,UMATILLA
2091,Junction City SD 69,$7661.91,LANE
1998,Elkton SD 34,$12434.52,DOUGLAS
2143,North Santiam SD 29J,$7995.05,MARION
2239,Hillsboro SD 1J,$8360.78,WASHINGTON
1924,NORTH CLACKAMAS SCH DIST 12,$6765.38,CLACKAMAS
2044,ROGUE RIVER SCH DIST 35,$6343.08,JACKSON
1978,SISTERS SCH DIST 6,$7765.54,DESCHUTES
2017,Diamond SD 7,$18531.84,HARNEY
1970,Crook County SD,$8380.00,CROOK
2257,Sheridan SD 48J,$8416.83,YAMHILL
